"url","player_name","player_games_played","player_games_started","player_minutes_per_game","player_points_per_game","player_offensive_rebounds__per_game","player_defensive_rebounds_per_game","player_rebounds_per_game","player_assists_per_game","player_steals_per_game","player_blocks_per_game","player_turnovers_per_game","player_fouls_per_game","player_assist_to_turnover_ratio","team","season_type","season_year","player_id"
"https://www.espn.com/nba/player/_/id/58/travis-best?year=2001-02&team=CHI","Travis Best",59,1,9.7,3.7,0.2,0.6,0.7,1.6,0.3,0.1,1.1,1.4,1.5,"IND","Not clear","1995-96",
"https://www.espn.com/nba/player/_/id/3912848/dean-wade","Dean Wade",12,0,5.9,1.7,0.3,1.3,1.6,0.2,0.2,0.3,0.3,0.7,0.7,"CLE","Not clear","2019-20",
"https://www.espn.com/nba/player/_/id/4432170/isaiah-jackson?year=2021-22&team=IND","Isaiah Jackson",36,15,15,8.3,1.7,2.5,4.1,0.3,0.7,1.4,1.1,2.6,0.3,"IND","Not clear","2021-22",
"https://www.espn.com/nba/player/_/id/2394/kevin-martin?year=2005-06&team=SAC","Kevin Martin",45,0,10.1,2.9,0.6,0.6,1.3,0.5,0.4,0.1,0.5,0.8,1,"SAC","Not clear","2004-05",
"https://www.espn.com/nba/player/_/id/885/ben-wallace?year=2010-11&team=DET","Ben Wallace",82,82,35.2,7.3,3.7,7.6,11.3,1.9,1.8,2.2,1.1,2,1.7,"DET","Not clear","2005-06",
"https://www.espn.com/nba/player/_/id/818/rod-strickland?year=2002-03&team=MIN","Rod Strickland",76,76,39.7,17.8,1.5,3.9,5.3,10.5,1.7,0.3,3.5,2.4,3,"WSH","Not clear","1997-98",
"https://www.espn.com/nba/player/_/id/353/troy-hudson?year=2002-03&team=MIN","Troy Hudson",8,0,2.9,1.5,0.1,0.1,0.3,0.5,0.3,0,0.1,0.1,5,"UTAH","Not clear","1997-98",
"https://www.espn.com/nba/player/_/id/1993/troy-bell","Troy Bell",6,0,5.7,1.8,0.5,0.2,0.7,0.7,0.2,0,1,1,0.7,"MEM","Not clear","2003-04",
"https://www.espn.com/nba/player/_/id/901/bonzi-wells?year=2003-04&team=POR","Bonzi Wells",7,0,5,4.4,0.6,0.7,1.3,0.4,0.1,0.1,0.9,0.7,0.4,"POR","Not clear","1998-99",
"https://www.espn.com/nba/player/_/id/883/rasheed-wallace?year=2006-07&team=DET","Rasheed Wallace",1,1,42,20,1,5,6,2,1,5,3,0,0.7,"ATL","Regular season","2003-04",
